party,rank,points,penalty,successfulHackCount,unsuccessfulHackCount,problemResults
"{'contestId': 2047, 'participantId': 198349252, 'members': [{'handle': 'RGB_ICPC8'}], 'participantType': 'CONTESTANT', 'ghost': False, 'room': 128, 'startTimeSeconds': 1733207100}",1,9552.0,0,0,0,"[{'points': 494.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 218}, {'points': 968.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 525}, {'points': 1434.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 667}, {'points': 1556.0, 'rejectedAttemptCount': 2, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 2588}, {'points': 2556.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 2277}, {'points': 2544.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 5481}]"
"{'contestId': 2047, 'participantId': 198257521, 'members': [{'handle': 'timer2024'}], 'participantType': 'CONTESTANT', 'ghost': False, 'room': 371, 'startTimeSeconds': 1733207100}",2,6900.0,0,0,0,"[{'points': 486.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 468}, {'points': 932.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 1058}, {'points': 1374.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 1307}, {'points': 1744.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 1975}, {'points': 2364.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 3214}, {'points': 0.0, 'rejectedAttemptCount': 0, 'type': 'FINAL'}]"
"{'contestId': 2047, 'participantId': 198347702, 'members': [{'handle': 'madoka_savior'}], 'participantType': 'CONTESTANT', 'ghost': False, 'room': 206, 'startTimeSeconds': 1733207100}",3,6864.0,0,0,0,"[{'points': 496.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 149}, {'points': 972.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 457}, {'points': 1392.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 1138}, {'points': 1736.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 2017}, {'points': 2268.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 3667}, {'points': 0.0, 'rejectedAttemptCount': 0, 'type': 'FINAL'}]"
"{'contestId': 2047, 'participantId': 198342973, 'members': [{'handle': 'ylzxxx7'}], 'participantType': 'CONTESTANT', 'ghost': False, 'room': 148, 'startTimeSeconds': 1733207100}",4,6814.0,0,0,0,"[{'points': 496.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 150}, {'points': 944.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 844}, {'points': 1342.0, 'rejectedAttemptCount': 1, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 1138}, {'points': 1718.0, 'rejectedAttemptCount': 1, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 1772}, {'points': 2314.0, 'rejectedAttemptCount': 1, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 3188}, {'points': 0.0, 'rejectedAttemptCount': 0, 'type': 'FINAL'}]"
"{'contestId': 2047, 'participantId': 198348058, 'members': [{'handle': 'mion_sonozaki'}], 'participantType': 'CONTESTANT', 'ghost': False, 'room': 264, 'startTimeSeconds': 1733207100}",5,6794.0,0,0,0,"[{'points': 494.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 217}, {'points': 968.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 522}, {'points': 1416.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 844}, {'points': 1720.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 2147}, {'points': 2196.0, 'rejectedAttemptCount': 0, 'type': 'FINAL', 'bestSubmissionTimeSeconds': 4027}, {'points': 0.0, 'rejectedAttemptCount': 0, 'type': 'FINAL'}]"
