Job Title,Description,District,Work Mode
Desarrollador FullStack - Semi,"Publicado hace 2 días
Lima, Lima, Peru
Descripción del puesto
CSTI Corp es una empresa peruana líder en la industria TI con más de 13 años en el mercado en países como Perú, Ecuador, Colombia, Costa Rica y Estados Unidos.
Ofrece soluciones de negocios en las líneas de Outsourcing, Licenciamientos SAP y Microsoft, soporte y mejora de aplicaciones, así como implementación y migración de sistemas bajo estrategias Cloud, aprovechando su alianza con marcas como Amazon, Azure, Huawei Cloud y Google Cloud.
Nos encontramos en la búsqueda de un Desarrollador FullStack Semi, para nuestra línea de negocio.
Requisitos:
Minimo 3 años de experiencia como Fullstack
Experiencia en microservicios con Java y Spring Boot
Experiencia a nivel de frontend con React.js (indispensable) y typescript (deseable)
Bases de datos relacionales (PostgreSQL, SQL Server).
Experiencia trabajando con contenedores (Docker) y herramientas CI/CD","Lima, Lima, Peru",Híbrido
Desarrollador FullStack - Semi,"Publicado hace 2 días
Lima, Lima, Peru
Descripción del puesto
CSTI Corp es una empresa peruana líder en la industria TI con más de 13 años en el mercado en países como Perú, Ecuador, Colombia, Costa Rica y Estados Unidos.
Ofrece soluciones de negocios en las líneas de Outsourcing, Licenciamientos SAP y Microsoft, soporte y mejora de aplicaciones, así como implementación y migración de sistemas bajo estrategias Cloud, aprovechando su alianza con marcas como Amazon, Azure, Huawei Cloud y Google Cloud.
Nos encontramos en la búsqueda de un Desarrollador FullStack Semi, para nuestra línea de negocio.
Requisitos:
Minimo 3 años de experiencia como Fullstack
Experiencia en microservicios con Java y Spring Boot
Experiencia a nivel de frontend con React.js (indispensable) y typescript (deseable)
Bases de datos relacionales (PostgreSQL, SQL Server).
Experiencia trabajando con contenedores (Docker) y herramientas CI/CD","Lima, Lima, Peru",Híbrido
Analista programador Java,"Múltiples vacantes
Publicado hace 2 días
Lima, Lima, Peru
Descripción del puesto
Reinventa el futuro con Canvia!
Si sientes pasión por la tecnología y quieres transformar negocios, esta es tu oportunidad para desarrollarte en una empresa inclusiva, diversa, que se desafía constantemente.
Nuestro propósito es hacer más fácil la vida de las personas, innovando e implementando proyectos de transformación digital con un metodología ágil y segura.
Como Analista Programador Java tendrás la misión de:
Desarrollar y mantener aplicaciones Java utilizando versiones 11 y 17, asegurando su rendimiento y calidad.
Realizar análisis de calidad de código y optimización utilizando herramientas como Jenkins y SonarQube.
Lo que te permitirá llegar al éxito:
Es indispensable que cuentes con:
Almenos 4 años con experiencia con Java.
Experiencia con Java 11 y 17.
Trabajar en ambientes CI/CD
Conocimiento de Jenkins y SonarQube.
Te ofrecemos:
Trabajar en equipo con especialistas en nuevas tecnologías y generar impacto a través de la transformación de nuestros clientes y proyectos de gran escala
A retarte y cuestionarte como lo estás haciendo para pensar cómo hacerlo mejor
Foco en tu desarrollo y línea de crecimiento, a través de Canvia College donde podrás potenciar tus conocimientos con cursos tendencia en tecnología y de gestión
La importancia de tu bienestar, por ejemplo, el que tengas tiempo libre el día de tu cumpleaños para que lo disfrutes con las personas que más quieres
Ingresarás a planilla desde el primer día
Porque la salud es muy importante, te coberturamos la EPS en un 80%
Tendrás una tarjeta de alimentación
Juntos vamos por más! No esperes más y postula a tu siguiente reto.
Híbrido
Programación
Full-time, Indeterminado
Semi Sr
3 vacantes disponibles",Publicado hace 2 días,Híbrido
Desarrollador Fullstack (.NET/Angular) - Proyecto temporal,"Publicado hace 2 días
Lima, Lima, Peru
Descripción del puesto
Somos una multinacional brasilera de soluciones digitales, con operación en diez países de América Latina. Apoyamos y evolucionamos los negocios de nuestros clientes a partir de nuestras cuatro líneas de negocios: Digital Business, Cloud Solutions, Digital Payments y Technology Platforms.
En estos momentos nos encontramos en búsqueda de un talento para cumplir el rol de Desarrollador FullStack (proyecto de 3 meses):
Requisitos:
Técnico o Bachiller de carreras universitarias de Ingeniería de Sistemas y afines.
Experiencia mínima de 3 años realizando funciones similares.
Manejo de frameworks: Angular, React, Typescript, Javascript, Node.js, Css(Less), Visual Code, WebStorm, .NET 4.6 y 5, C#, Visual studio 2019+.
Conocimiento de BD SQL Server, PLSQL, SSRS, Management Studio, Toad.
Manejo de Servicios cloud AWS.
Uso de SonarQube, Postman, Jenkins, Eureka, Git, SoapUi, Jmeter, Docker, Kubernetes, Django, Python (deseable)
Conocimiento de Metodologías ágiles, de preferencia Scrum.
Conocimientos de Seguridad, OWASP Top10.
Funciones:
Levantar requerimientos funcionales y técnicos con el área usuaria.
Documentar requerimientos y estimar esfuerzo de implementación.
Desarrollar el software.
Realizar las pruebas técnicas, funcionales y de seguridad.
Elaborar documentación del software desarrollado: Documentación de diseño, técnico, funcional, manuales de usuario, etc.","Lima, Lima, Peru",Presencial
PROGRAMADOR RPA,"Múltiples vacantes
Publicado hace 2 días
Lima, Lima, Peru
Descripción del puesto
Programador RPA
Estamos buscando un Programador RPA con experiencia en automatización de procesos para unirse a nuestro equipo. El candidato ideal tendrá habilidades técnicas en herramientas RPA y conocimiento en programación e integración de sistemas.
Requisitos:
Profesional de Ingeniería de Sistemas, Informática, Ciencias de la Computación o afines.
Experiencia comprobada en proyectos de automatización.
Manejo de herramientas RPA: UiPath, Power Automate, Rocketbot.
Conocimiento en programación: Python, Java.
Integración de sistemas y manejo de datos.
Responsabilidades:
Desarrollar y mantener soluciones RPA utilizando UiPath, Power Automate y Rocketbot.
Colaborar con equipos internos para identificar y automatizar procesos.
Integrar sistemas y manejar grandes volúmenes de datos.
Resolver problemas técnicos y optimizar procesos automatizados.
Habilidades blandas:
Capacidad analítica.
Resolución de problemas.
Comunicación efectiva.
Ofrecemos:
Un entorno de trabajo dinámico y colaborativo.
Oportunidades de desarrollo y crecimiento profesional.
Salario competitivo y beneficios adicionales.
Híbrido
Programación
Full-time, Indeterminado
Semi Sr
2 vacantes disponibles",Publicado hace 2 días,Híbrido
FullStack Senior,"Actualizado hace 2 días
Miraflores, Lima, Peru
Descripción del puesto
Métrica Andina es la primera filial latinoamericana del grupo de consultoría español Métrica Consulting. El grupo comenzó operaciones con el inicio del nuevo siglo y desde entonces ha participado en distintos proyectos en distintos países de Europa Occidental y Latino América. Con Métrica Andina, hemos comenzado a ofrecer nuestros servicios técnicos en el mercado Peruano y desde ahí queremos llegar a la región andina en los próximos años.
Por encargo de nuestro cliente nos encontramos en la búsqueda de FullStack Senior
Requisitos:
6 años en el cargo de FullStack.
Experiencia Senior en C#, JS, CSS, ASP Netcore, React Js y Next js.
Poder asistir hibrido en Miraflores.","Miraflores, Lima, Peru",Híbrido
Analista Programador .NET,"Actualizado hace 2 días
Cercado De Lima, Lima, Peru
Descripción del puesto
More digital. More human. More Minsait.
Somos una empresa líder global de tecnología y consultoría digital que conecta personas, tecnología y negocios para generar crecimiento, transformación e impacto positivo y sostenible.
Como parte de nuestro crecimiento, nos encontramos en la búsqueda de un Analista Programador .NET con ganas de trabajar para uno de nuestros equipos multidisciplinares para uno de nuestros clientes de Servicios Financieros (Aseguradora).
Formación:
Bachiller y/o Técnico en las carreras: ingeniería de software, informática, sistemas o computación o a fines.
Conocimientos asociados o requisitos principales:
Experiencia mayor o igual a 3 años en la tecnología requerida, con amplia experiencia en el desarrollo de software y con alto grado de resolución de problemas.
Conocimientos en .NET Framework 3.0 y 4.0 (Obligatorio)
Manejo de Visual Studio 2008 en adelante. (Obligatorio)
Conocimientos en ASPX .Net (Obligatorio) Conocimientos en JavaScript (Obligatorio)
Desarrollo de Servicios SOAP (Obligatorio) y REST (Obligatorio)
Conocimiento en WCF Web Services (Obligatorio)
Conocimientos básicos en Microservicios (Obligatorio)
Conocimientos en Oracle 11g (Obligatorio)
Conocimientos en SQL Server 2008 R2 en adelante (Obligatorio)
Conocimientos en JIRA Software, BitBucket, Jenkins, OWASP ZAP, integración y despliegue continuo (Deseable).
Participación en proyectos con marcos ágiles aplicando buenas prácticas en el desarrollo (Deseable).","Cercado De Lima, Lima, Peru",Remoto
ANALISTA PROGRAMADOR,"Actualizado hace 2 días
San Isidro, Lima, Peru
Descripción del puesto
¡Estamos creciendo contigo!
Somos la empresa “Caja de Pensiones Militar Policial”, ubicada en el distrito de San Isidro y actualmente estamos en búsqueda de un nuevo talento para el puesto de Analista Programador del Departamento de Desarrollo y Mantenimiento de Sistemas de Información.
REQUISITOS:
Bachiller en Ingeniería de Sistemas, Ingeniería Informática, Ciencias de la Computación o afines.
Experiencia general de tres (3) años y experiencia específica de dos (2) años acumulables como analista, asistente o puesto similar.
De preferencia, capacitación especializada en tecnología y herramientas Oracle, análisis, diseño, programación e implantación de sistemas de información, la misma que es acreditada mediante cursos que totalicen una duración no menor a treinta (30) horas lectivas.
Conocimiento en Programación en Java, Oracle, Oracle PLSQL, Oracle Forms & Report y .Net.
FUNCIÓN BÁSICA:
Implementar las actividades de desarrollo y mantenimiento de los sistemas de información.
FUNCIÓN ESPECÍFICA:
Participar en la elaboración o modificación de las especificaciones lógicas de los componentes de los sistemas de información a desarrollar o modificar, así como en el respectivo diseño procedimental, según los estándares establecidos.
Participar en el diseño de modelos de datos para implementar los requerimientos de los usuarios, según los estándares establecidos; así como generar los respectivos esquemas de base de datos, luego de obtener la conformidad del Jefe de Departamento de Desarrollo y Mantenimiento de Sistemas de Información.
Construir, ejecutar y configurar el código fuente de los componentes necesarios para la salida a producción de los sistemas de información.
Construir y modificar formularios, reportes, objetos de base de datos y demás componentes de los sistemas de información, según los estándares establecidos y requisitos especificados.
Ejecutar casos para la realización de pruebas funcionales, de integración y usabilidad a los componentes de sistemas de información desarrollados o modificados.
Participar en la migración de información a los sistemas.
Utilizar las directivas, lineamientos, metodologías y procedimientos dispuestos para atender las incidencias, requerimientos o proyectos a cargo.
Participar en la ejecución de los proyectos relacionados a Gobierno y Transformación Digital.
Reportar al Jefe de Departamento de Desarrollo y Mantenimiento de Sistemas de Información y coordinar con el Analista Funcional, el avance en la construcción de los componentes de los sistemas de información.
Mantener actualizada la información de las solicitudes de trabajo asignadas.
Cumplir la normativa interna y externa aplicable a su ámbito de acción.
Participar de manera activa y permanente en las acciones dispuestas en la gestión integral de riesgos, asociadas a las actividades que realiza.
Participar en la implementación y actualización del sistema de control interno.
Desempeñar las demás funciones inherentes a su cargo que le sean asignadas por el Jefe de Departamento de Desarrollo y Mantenimiento de Sistemas de Información.
BENEFICIOS:
Remuneración: S/. 4,000.00
Horario de Trabajo regular: 9:00 a.m. a 5:15 p.m. de lunes a viernes (presencial).
Modalidad de contratación: Plazo fijo - D.L. 728 (Planilla, beneficios según ley).
Capacitación acorde a la necesidad del puesto.
Los datos personales que el postulante facilite a través de su hoja de vida, podrán ser recopilados, tratados, e incorporados a un Banco de Datos Personales de la CPMP, solo para dichos fines específicos, y serán conservados por un periodo máximo de dos años.
La Caja de Pensiones Militar Policial - CPMP declara que respeta los principios de legalidad, consentimiento, finalidad, proporcionalidad, calidad, disposición de recurso, nivel de protección adecuado, conforme a las disposiciones de la Ley de Protección de Datos Personales vigente en Perú""
"" En la Caja de Pensiones Militar Policial creemos firmemente en la igualdad de oportunidades por lo cual promovemos la diversidad de género, origen étnico, nacionalidad, la inclusión de personas con discapacidad y/o habilidades diferentes (de acuerdo con lo establecido en la Ley N° 29973).""
Presencial
Programación
Full-time, Temporal
Senior
1 vacante disponible
Apto personas con discapacidad","San Isidro, Lima, Peru",Presencial
Analista Programador,"Publicado hace 3 días
Surco, Lima, Peru
Descripción del puesto
Empresa en el sector inmobiliario, nos encontramos en la búsqueda de un ANALISTA PROGRAMADOR
Requisitos
Técnico o Bachiller en Ingeniería de Sistemas, Informática o carreras técnicas de sistemas de la información.
Experiencia de 2 años cumpliendo realizando funciones similares.
Experiencia como front end Angular 16 o posterior.
Experiencia de 1 año utilizando MySQL. Experiencia/conocimientos buenas practicas, principios SOLID.
Conocimientos de backend Java Springboot intermedio.
Deseable experiencia en Cloud Digital Ocean – Azure.
Deseable experiencia en ERP’s y /o CRM's.
Deseable conocimiento en servidores y Docker.
Experiencia en creación y consumo de API.
Ingles Intermedio - Deseable
Funciones:
Formar parte de nuestro equipo de desarrollo, programando nuevas funcionalidades o adaptando funcionalidades existentes del ERP interno, a partir de requerimientos internos.
Desarrollo de tareas de Backend, creación de servicios y funcionalidades.
Participar en reuniones técnicas de programación y seguimiento.
Coordinar con el equipo técnico el cumplimiento de las asignaciones.
Tener buenas comunicación y capacidades para trabajo colaborativo.
Resolver de manera eficaz los problemas que se presenten durante el desarrollo de manera proactiva.
Revisar y reforzar con buenas prácticas a el código realizado por el equipo técnico.
Manejo y control de base de datos relacionales.
Proponer herramientas que permitan la mejor gestión de las actividades del equipo.
Competencias:
- Proactivo - Responsable - Capacidad de organización y planificación. - Innovador/a y con iniciativa - Capacidad de trabajo en equipo.","Surco, Lima, Peru",Presencial
Desarrollador .Net - Proyecto e-learning / Evaluaciones Psicológicas,"Actualizado hace 2 días
Santiago de Surco, Lima, Peru
Descripción del puesto
¡Te estamos buscando!
Por encargo de nuestro cliente, nos encontramos en búsqueda del mejor talento para el perfil de: Desarrollador .Net - Proyecto e-learning / Evaluaciones Psicologicas
Funciones:
Encargado del proyecto: Diseñar, implementar y desarrollar herramientas del software e-learning / Evaluaciones psicologicas
Dar soporte a la aplicación web y móviles utilizando el framework .NET.
Identificar problemas de negocio para diseñar soluciones
Mejorar el diseño y la arquitectura de web, asegurando que sean escalable, segura y eficiente.
Colaboración en Equipos Multidisciplinarios
Escribir y ejecutar pruebas unitarias y de integración para asegurar que el software funcione correctamente y depurar el código cuando sea necesario.
Mejorar el rendimiento de la aplicacion mediante la optimización de consultas, la mejora del uso de recursos y la implementación de mejores prácticas de programación.
Necesitamos:
Bachiller o técnico de las carreras de Sistemas, informáticas o afines.
Experiencia mínima de 02 años como Analista Programador. Desarrollo .NET
Experiencia en proyectos de Software e-learning / Evaluaciones Psicologicas
Conocimientos específicos:
Conocimiento en sistemas operativos: Windows cliente y servidor
Dominio de las siguientes tecnologías: ü SQL, MYSQL – (store procedure, functions, triggers, Jobs) ü Java Script, Jquery, C#, ASP.Net MVC","Santiago de Surco, Lima, Peru",Presencial
